state,resorts_per_state,state_total_terrain_parks,state_total_skiable_area_ac,state_total_days_open,state_total_nightskiing_ac,state_population,state_area_sq_miles
Alaska,3,4.0,2280.0,345.0,580.0,731545,665384
Arizona,2,6.0,1577.0,237.0,80.0,7278717,113990
California,21,81.0,25948.0,2738.0,587.0,39512223,163695
Colorado,22,74.0,43682.0,3258.0,428.0,5758736,104094
Connecticut,5,10.0,358.0,353.0,256.0,3565278,5543
Idaho,12,27.0,16396.0,1136.0,415.0,1787065,83569
Illinois,4,6.0,191.0,221.0,191.0,12671821,57914
Indiana,2,4.0,165.0,157.0,165.0,6732219,36420
Iowa,3,5.0,140.0,100.0,140.0,3155070,56273
Maine,9,17.0,3216.0,865.0,388.0,1344212,35380
Maryland,1,3.0,172.0,121.0,118.0,6045680,12406
Massachusetts,11,18.0,1166.0,671.0,583.0,6892503,10554
Michigan,28,63.0,4406.0,2389.0,1946.0,9986857,96714
Minnesota,14,29.0,1560.0,1490.0,1020.0,5639632,86936
Missouri,2,2.0,60.0,69.0,47.0,6137428,69707
Montana,12,27.0,21410.0,951.0,710.0,1068778,147040
Nevada,4,9.0,2110.0,415.0,0.0,3080156,110572
New Hampshire,16,43.0,3427.0,1847.0,376.0,1359711,9349
New Jersey,2,4.0,190.0,170.0,181.0,8882190,8723
New Mexico,9,18.0,5223.0,966.0,50.0,2096829,121590
New York,33,72.0,5514.0,2384.0,2836.0,19453561,54555
North Carolina,6,9.0,370.0,506.0,335.0,10488084,53819
Ohio,5,12.0,421.0,489.0,421.0,11689100,44826
Oregon,10,22.0,11774.0,1180.0,1127.0,4217737,98379
Pennsylvania,19,47.0,1888.0,1404.0,1528.0,12801989,46054
Rhode Island,1,1.0,30.0,100.0,30.0,1059361,1545
South Dakota,2,3.0,950.0,183.0,0.0,884659,77116
Tennessee,1,1.0,0.0,83.0,0.0,6829174,42144
Utah,13,26.0,30508.0,1544.0,642.0,3205958,84897
Vermont,15,50.0,7239.0,1777.0,50.0,623989,9616
Virginia,4,4.0,269.0,366.0,135.0,8535519,42775
Washington,10,21.0,15330.0,1022.0,1997.0,7614893,71298
West Virginia,4,9.0,542.0,342.0,187.0,1792147,24230
Wisconsin,15,40.0,1750.0,1519.0,1065.0,5822434,65496
Wyoming,8,14.0,6523.0,716.0,110.0,578759,97813
